077A3100-1667-45FA-B98C-37651B5073EE,TpmSmbiosDxe
ECEBCB00-D9C8-11E4-AF3D-8CDCD426C973,HttpBootDxe
580DD900-385D-11D7-883A-00500473D4EB,Uhcd
8F5A2E02-538C-4D59-B920-C4786ACBC552,Ahci
FF11E702-8923-47CC-AD30-D9E0E240DD10,AAFTblDxe
8B786703-E8C7-4BEA-8F07-CDF991B90999,AmdPspDxeV2Rv
15E4C005-52C0-444C-8C94-56FFA04C7B36,SmuV12Dxe
D4013B06-AB7D-4B9C-89D5-6EF61F507ECA,MytleSetupDxeRN
25075106-F537-4BD4-AFA5-CFF0E6F3B2A6,AmdFabricRvDxe
77EB6C06-FD48-488B-A1B3-AE0A70801369,CryptoDXE
64E6D006-E62A-481E-8F5A-3F76C9184741,AmdSmmCommunication
B7784107-973C-4957-905E-54455A47E07D,AmdNbioPcieDxe
80E66E0A-CCD1-43FA-A7B1-2D5EE0F13910,PciRootBridge
42857F0A-13F2-4B21-8A23-53D3F714B840,CapsuleRuntimeDxe
0FD41E0B-C4DF-4B4B-863D-17C0DBD6EF56,SbSmi
C7A7030C-C3D8-45EE-BED9-5D9E76762953,MouseDriver
F27F4D0C-70E4-413B-A537-FF39A2199AA5,CbsSetupDxeRN
1807040D-5934-41A2-A088-8E0F777F71AB,NvramDxe
4A6D890F-93C3-4B6D-A67D-5F2C4DCE347B,RuntimeSmm
2366C20F-E15A-11E3-8BF1-E4115B28BC50,HttpDxe
30AF4110-A58E-4EF7-8C75-B725939B3B9F,AmdCpmDisplayFeatureSmm
AC7FA810-44E5-4CA6-9D17-778CC5B034EB,MytleSetupDxeRv
73F53712-2A64-4B86-961D-C25B63DF198C,AmdNbioIOMMURVDxe
DC958E14-CA7E-479C-A656-2CB95F8A169B,RpmcDxe
9F3A0016-AE55-4288-829D-D55FD3AAC347,AmiBoardInfo2
9FF8B917-D14C-4A43-9314-123DA3960AD6,AmdMemAm4Dxe
94734718-0BBC-47FB-96A5-EE7A5AE6A2AD,Dhcp4Dxe
70E1A818-0BE1-4449-BFD4-9EF68C7F02A8,ReFlash
999BD818-7DF7-4A9A-A502-9B75033E6A0F,EsrtDxe
6298FE18-D5EF-42B7-BB0C-2953283F5704,SleepSmi
6298FE18-D5EF-42B7-BB0C-295328569842,ResetSmi
